Ticker,median,std,max,min,range
NVDA,5.0,3.2806944386821515,16.0,0.0,16.0
MSFT,5.0,3.2995145097423038,16.0,0.0,16.0
AAPL,5.0,3.2988617565592055,16.99999999999998,0.0,16.99999999999998
AMZN,4.0,3.3018816857462747,15.0,0.0,15.0
META,5.5000000000000115,3.4698879264642284,17.00000000000001,0.0,17.00000000000001
AVGO,5.0,3.3339666065114293,20.0,0.0,20.0
GOOGL,5.0,3.316786329499619,16.0,0.0,16.0
GOOG,5.0,3.480544721096908,20.0,0.0,20.0
TSLA,6.0,3.8160439666696133,23.0,0.0,23.0
JPM,5.0,3.3693585937583626,19.0,0.0,19.0
WMT,6.0,3.4861225834251246,16.0,0.0,16.0
V,5.0,3.5658316779617563,21.0,0.0,21.0
LLY,3.0,2.949354656342449,12.0,0.0,12.0
ORCL,5.0,3.4411741536219225,18.0,0.0,18.0
MA,2.0,2.762895743398378,13.0,0.0,13.0
NFLX,2.0,2.6103631931208326,13.0,0.0,13.0
XOM,5.0,3.441160269444014,23.0,0.0,23.0
JNJ,0.0,1.9834285691420452,10.0,0.0,10.0
COST,5.0,3.5319567129598606,17.0,0.0,17.0
HD,6.0,3.6150359457256975,20.0,0.0,20.0
BAC,7.000000000000001,3.950449707171183,22.0,0.0,22.0
